Coeffs,Feature
-69560.48390975692,"Energy_source_-Solar,-Strom-"
-72671.62212089007,"Energy_source_-Gas,-KWK-fossil-"
-75605.86432542393,Condition_refurbished
-79630.89126155608,"Energy_source_-Erdwärme,-Solar-"
-81872.9290914114,Type_Corner-house
-81951.68349262113,Energy_source_-Holz-
-87805.96946285515,"Energy_source_-Erdgas-leicht,-Erdgas-schwer-"
-88244.0387643966,"Energy_source_-Gas,-Bioenergie-"
-90978.04758341375,State_Rheinland-Pfalz
-91459.26897659466,"Energy_source_-Öl,-Strom-"
-92824.47410432648,Condition_by-arrangement
-99748.9351676151,State_Mecklenburg-Vorpommern
-102103.46922793813,"Energy_source_-Öl,-Holz-"
-120151.14204981847,"Energy_source_-Strom,-Holz-"
-121096.10245790306,Furnishing_quality_refined
-122604.03022321693,State_Niedersachsen
-124708.2759368235,Energy_source_-Flüssiggas-
-125403.0144588938,Energy_source_-KWK-regenerativ-
-127605.63446852482,"Energy_source_-Strom,-Bioenergie-"
-132351.30644752085,"Energy_source_-Strom,-Kohle-"
-136781.08216436507,Energy_source_-KWK-erneuerbar-
-138791.4292451633,"Energy_source_-Solar,-Bioenergie-"
-141906.5658768694,State_Saarland
-145368.86605392225,State_Sachsen
-154229.18743798803,"Energy_source_-Gas,-Fernwärme-"
-173808.64312401638,"Energy_source_-Öl,-Kohle-"
-184123.24309796395,"Energy_source_-Solar,-Öl,-Strom-"
-200976.33301206067,"Energy_source_-Strom,-Umweltwärme-"
-201961.62514297696,State_Thüringen
-202895.15849897612,"Energy_source_-Erdwärme,-Strom-"
-216284.2547698041,State_Sachsen-Anhalt
-221872.8564220237,"Energy_source_-Holzpellets,-Holz-"
-222956.29793478665,Energy_source_-Holz-Hackschnitzel-
-226697.6830792079,"Energy_source_-Solar,-Holzpellets,-Öl-"
-230588.4839028776,"Energy_source_-Holzpellets,-Strom-"
-232522.7607635755,Energy_source_-Wasserenergie-
-234694.74869658783,"Energy_source_-Öl,-Strom,-Holz-"
-350973.03794733214,"Energy_source_-Holzpellets,-Kohle,-Holz-"
-371464.15030619333,"Energy_source_-Erdwärme,-Umweltwärme-"
-414975.95353258104,"Energy_source_-Solar,-Öl,-Holz-Hackschnitzel-"
-420661.1358946197,"Energy_source_-Öl,-Bioenergie-"
-633540.7861752133,"Energy_source_-Solar,-Gas,-Öl-"
